"UO";"EIXO";"ANO";"MES";"SIGLA";"FTE";"DS_FONTE_RECURSO";"CO";"DS_ACOMPANHAMENTO";"PROG";"NOME DO PROGRAMA";"PAOE";"NOME DA ACAO";"FUNCAO";"DS_FUNCAO";"SUBFUNCAO";"DS_SUBFUNCAO";"GR";"VL_ORCADO_INICIAL";"VL_PED";"VL_ORCADO_ATUAL";"VL_EMPENHADO";"VL_LIQUIDADO";"VL_PAGO";"VL_BLOQUEADO";"VL_CONTINGENCIADO";"VL_INDISPONIVEL";"SALDO"
"19102";7;2025;"valr_janeiro";"CBMRR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";12;"Prevenção, Combate a Sinistro e Defesa Civil ao Cidadão";2050;"Prevenção e Combate a Sinistros";6;"Segurança Pública";182;"Defesa Civil";1;160000;0;160000;0;0;0;0;0;0;160000
"21101";4;2025;"valr_janeiro";"SEINF";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";43;"Infraestrutura em Obras Públicas e Urbanismo ";2414;"Reforma de Prédios Públicos";4;"Administração";451;"Infraestrutura Urbana";3;6288598;0;6288598;0;0;0;0;0;0;6288598
"25601";1;2025;"valr_janeiro";"FUEMP/RR ";"2759";"Recursos Vinculados a Fundos - EA";0;"Código Padrão";4;"Defesa da Ordem Jurídica e dos Interesses Sociais e Individuais Indisponíveis";2249;"Operacionalização do Fundo Especial do MPE";3;"Essencial à Justiça";62;"Defesa do Interesse Público no Processo Judiciário";3;0;0;0;0;0;0;0;0;0;0
"23101";3;2025;"valr_janeiro";"SETRABES";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";54;"Mais Emprego";2350;"Fomento a Geração de Trabalho, Emprego e Renda";11;"Trabalho";334;"Fomento ao Trabalho";3;243472;0;243472;0;0;0;0;0;0;243472
"23101";3;2025;"valr_janeiro";"SETRABES";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";85;"Desenvolvimento Social";2341;"Fortalecimento da Política de Segurança Alimentar e Nutricional";8;"Assistência Social";244;"Assistência Comunitária";3;138663280;0;138663280;0;0;0;0;0;0;138663280
"27101";2;2025;"valr_janeiro";"SEPI";"2706";"Transferência Especial da União - EA";3110;"Emendas Parlamentares Individuais - União";87;"Gestão das Politicas de Etnodesenvolvimento";2299;"Promoção da Identidade Étnica e Patrimônio Sócio-Cultural dos Povos Indígenas";13;"Cultura";423;"Assistência aos Povos Indígenas";3;0;0;0;0;0;0;0;0;0;0
"13105";1;2025;"valr_janeiro";"CGE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";94;"Execução do Controle Interno";2328;"Acompanhamento e Controle da Aplicação dos Recursos Públicos e Promoção da Transparência";4;"Administração";124;"Controle Interno";3;5462336;0;5462336;0;0;0;0;0;0;5462336
"18101";1;2025;"valr_janeiro";"SEADI";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4212;"Manutenção de Serviços de Transportes da SEADI";20;"Agricultura";122;"Administração Geral";3;1239998;0;1239998;0;0;0;0;0;0;1239998
"22302";1;2025;"valr_janeiro";"IPEM/RR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4235;"Manutenção de Serviços de Transportes do IPEM";4;"Administração";122;"Administração Geral";3;204338;0;204338;0;0;0;0;0;0;204338
"17101";6;2025;"valr_janeiro";"SEED";"1500";"Recursos não Vinculados de Impostos ";1001;"Manutenção e Desenvolvimento do Ensino - MDE";80;"Desenvolvimento da Educação Básica";2202;"Manutenção e Fortalecimento do Ensino Médio";12;"Educação";362;"Ensino Médio";3;68812150;0;68812150;0;0;0;0;0;0;68812150
"13107";1;2025;"valr_janeiro";"PROGE";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4107;"Manutenção e Conservação de Bens Imóveis da PROGE";3;"Essencial à Justiça";122;"Administração Geral";3;364104;0;364104;0;0;0;0;0;0;364104
"17101";6;2025;"valr_janeiro";"SEED";"2552";"Transferências de Recursos do FNDE - Programa Nacional de Alimentação Escolar (PNAE) - EA";0;"Código Padrão";80;"Desenvolvimento da Educação Básica";2534;"Fortalecimento da Alimentação Escolar - Ensino Fundamental";12;"Educação";361;"Ensino Fundamental";3;0;0;0;0;0;0;0;0;0;0
"26101";1;2025;"valr_janeiro";"SEJUC";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4229;"Manutenção de Serviços de Transportes da SEJUC";14;"Direitos à Cidadania";122;"Administração Geral";3;60000;0;60000;0;0;0;0;0;0;60000
"34101";3;2025;"valr_janeiro";"SECULT";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";31;"Proteção, Produção e Difusão Cultural";2426;"Reforma de Unidades e Áreas de Lazer Componentes do Patrimônio Cultural";13;"Cultura";392;"Difusão Cultural";3;50000;0;50000;0;0;0;0;0;0;50000
"17201";1;2025;"valr_janeiro";"UERR";"1500";"Recursos não Vinculados de Impostos ";0;"Código Padrão";10;"Apoio Administrativo";4539;"Ações de Informática da UERR";12;"Educação";122;"Administração Geral";3;1972284;0;1972284;0;0;0;0;0;0;1972284
